京客隆甜水园店,朝阳区甜水园北里16号楼,65860070,8:00-22:00
京客隆华安店,北京市朝阳区安华西里一区十二号,64252414,8:00-21:00
京客隆管庄店,朝阳区东苇路管庄村配送中心管庄库,65715170,8:00-22:00
京客隆京源店,北京市朝阳区左家庄三源里街24楼,64617025,8:00-22:00
京客隆首都机场店,朝阳区首都机场南路1号,64578089,8:00-22:00
京客隆垡头店,朝阳区垡头西里11号,67383348,8:00-21:00
京客隆劲松店,朝阳区劲松中街401楼,67784240,8:00-22:00
京客隆劲松商城,东三环南路58号院,58673707,8:00-22:00
京客隆红松园店,北京市朝阳区红松园北里16号,65494985,8:00-21:30
京客隆三里屯店,北京朝阳区三里屯北路南27楼,64165651,8:00-22:30
京客隆松榆里店,朝阳区松榆里28号楼,67313492,8:00-21:30
京客隆酒仙桥店,酒仙桥路39号地下一层,64356776,8:00-21:30
京客隆团结湖店,朝阳区团结湖路8号楼,85975703,8:00-22:00
京客隆南皋路店,北京市朝阳区崔各庄乡京旺家园一层,84306670,8:00-21:00
京客隆针织路店,朝阳区呼家楼北街甲2号,65935363,8:00-21:00
京客隆西坝河店,北京市朝阳区西坝河东里85号楼,64651922,8:00-21:30
京客隆大山子店,朝阳区酒仙桥大山子北里1号,64373621,8:00-21:00
京客隆西园店,朝阳区望京西园103号,64728705,8:30-21:00
京客隆石佛营店,朝阳区石佛营西里12号楼一层,85825056,8:00-21:00
京客隆连心园店,北京市朝阳区常营乡连心园小区一层,58234368,8:00-21:00
京客隆星火西路店,北京市朝阳区星火西路17号楼地上一层及...,85854250,8:00-21:00
京客隆康营店,朝阳区孙河乡康营家园E03号楼,57627259,8:00-20:30
京客隆北苑店,朝阳区水岸庄园1010号(地上三层),84203136,8:00-21:00
京客隆东坝店,朝阳区朝新嘉园东里6区1号楼101室（地上...,65789865,8:00-21:00
京客隆定福庄店,朝阳区定福庄天泰苑新村A8号楼,85074070,8:00-21:30
京客隆望京店,北京市朝阳区望京南湖中园211楼（地上四...,64758592,8:00-22:00
京客隆驼房营店,朝阳区将台乡驼房营村,84354510,8:00-21:30
京客隆枣营路店,朝阳区麦子店枣营南里10楼,65074383,8:00-21:30
京客隆金盏路店,朝阳区金盏乡杨树岗村临742号,84349448,8:00-21:00
京客隆天达路店（朝...,朝阳区豆各庄朝丰家园天达路21号,67490307,8:00-21:30
京客隆康静里店,朝阳区东坝乡单店康静里20号楼,65498793,8:00-21:00
京客隆双龙店,北京市朝阳区双龙南里204号楼,87315736,8:00--21:30
